PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:43;
As Of Date: 04-Dec-2025;Page: 1;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);
528.;DCII; 100.00 %; 100.00 %;
529.;EDGE; 100.00 %; 100.00 %;
530.;FISH; 100.00 %; 100.00 %;
531.;GOLD;  85.00 %;  85.00 %;
532.;HAJJ; 100.00 %; 100.00 %;
533.;HDIT; 100.00 %; 100.00 %;
534.;HRME; 100.00 %; 100.00 %;
535.;MGNA; 100.00 %; 100.00 %;
536.;ARMY; 100.00 %; 100.00 %;
537.;FINN; 100.00 %; 100.00 %;
538.;CASH-W;  50.00 %;  50.00 %;
539.;AUTO;  20.00 %;  20.00 %;
540.;AVIA;  15.00 %;  15.00 %;
541.;CMRY;  15.00 %;  15.00 %;
542.;NANO; 100.00 %; 100.00 %;
543.;SMKM; 100.00 %; 100.00 %;
544.;ARII; 100.00 %; 100.00 %;
545.;DFAM; 100.00 %; 100.00 %;
546.;FIRE; 100.00 %; 100.00 %;
547.;MANG; 100.00 %;    .00 %;
548.;PTPS; 100.00 %; 100.00 %;
549.;ADCP; 100.00 %; 100.00 %;
550.;ALMI; 100.00 %; 100.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:44;
As Of Date: 04-Dec-2025;Page: 12;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


551.;ANTM;  35.00 %;  35.00 %;
552.;ASLC;  25.00 %;  25.00 %;
553.;ASSA;  30.00 %;  30.00 %;
554.;AYLS; 100.00 %; 100.00 %;
555.;BREN; 100.00 %; 100.00 %;
556.;CITA;  85.00 %;  85.00 %;
557.;ELPI;  15.00 %;  15.00 %;
558.;ENRG;  35.00 %;  35.00 %;
559.;FORU; 100.00 %; 100.00 %;
560.;FREN;  75.00 %;  75.00 %;
561.;GGRP; 100.00 %; 100.00 %;
562.;HEXA;  20.00 %;  20.00 %;
563.;KAYU; 100.00 %; 100.00 %;
564.;KIOS; 100.00 %; 100.00 %;
565.;LABA; 100.00 %; 100.00 %;
566.;NTBK; 100.00 %; 100.00 %;
567.;PLIN; 100.00 %; 100.00 %;
568.;RAFI; 100.00 %; 100.00 %;
569.;RIGS;  85.00 %;  85.00 %;
570.;SHID; 100.00 %; 100.00 %;
571.;SMCB; 100.00 %; 100.00 %;
572.;STRK; 100.00 %; 100.00 %;
573.;TPIA;  45.00 %;  45.00 %;
574.;WIIM;  40.00 %;  40.00 %;
575.;XCIS;  85.00 %;  85.00 %;
576.;MLIA;  40.00 %;  40.00 %;
577.;CFIN;  25.00 %;  25.00 %;
578.;EPAC; 100.00 %; 100.00 %;
579.;ATAP; 100.00 %; 100.00 %;
580.;BCIC; 100.00 %; 100.00 %;
581.;BVIC;  85.00 %;  85.00 %;
582.;NCKL;  20.00 %;  20.00 %;
583.;PORT;  95.00 %;  95.00 %;
584.;PRAY;  85.00 %;  85.00 %;
585.;PTIS;  85.00 %;  85.00 %;
586.;RMKE;  40.00 %;  40.00 %;
587.;SONA; 100.00 %; 100.00 %;
588.;ASLI; 100.00 %; 100.00 %;
589.;IBOS; 100.00 %; 100.00 %;
590.;KRYA; 100.00 %; 100.00 %;
591.;MGRO;  85.00 %;  85.00 %;
592.;MTWI;  85.00 %;  85.00 %;
593.;APIC;  50.00 %;  50.00 %;
594.;AYAM;  25.00 %;  25.00 %;
595.;BPFI;  85.00 %;  85.00 %;
596.;FLMC; 100.00 %; 100.00 %;
597.;NOBU;  65.00 %;  65.00 %;
598.;PNLF;  30.00 %;  30.00 %;
599.;SKLT; 100.00 %; 100.00 %;
600.;STAR; 100.00 %; 100.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:44;
As Of Date: 04-Dec-2025;Page: 13;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


601.;TGUK; 100.00 %; 100.00 %;
602.;TKIM;  30.00 %;  30.00 %;
603.;BABP; 100.00 %; 100.00 %;
604.;SMMT;  85.00 %;  85.00 %;
605.;BKDP; 100.00 %; 100.00 %;
606.;CHEM;  45.00 %;  45.00 %;
607.;DNET;  95.00 %;  95.00 %;
608.;ERTX; 100.00 %; 100.00 %;
609.;GRPH; 100.00 %; 100.00 %;
610.;LAJU; 100.00 %; 100.00 %;
611.;MARI; 100.00 %; 100.00 %;
612.;MPXL;  40.00 %;  40.00 %;
613.;SHIP;  85.00 %;  85.00 %;
614.;TCPI;  30.00 %;  30.00 %;
615.;TRIM;  55.00 %;  55.00 %;
616.;SPRE; 100.00 %; 100.00 %;
617.;EPMT;  85.00 %;  85.00 %;
618.;GOLF;  20.00 %;  20.00 %;
619.;PYFA;  85.00 %;  85.00 %;
620.;TNCA; 100.00 %; 100.00 %;
621.;AMMN;  35.00 %;  35.00 %;
622.;APLN;  30.00 %;  30.00 %;
623.;INTD; 100.00 %; 100.00 %;
624.;JMAS;  85.00 %;  85.00 %;
625.;JRPT;  15.00 %;  15.00 %;
626.;KPIG;  75.00 %;  75.00 %;
627.;KAQI;  75.00 %;  75.00 %;
628.;MCAS;  65.00 %;  65.00 %;
629.;MPMX;  25.00 %;  25.00 %;
630.;OKAS;  90.00 %;  90.00 %;
631.;PANR;  65.00 %;  65.00 %;
632.;NICL;  80.00 %;  80.00 %;
633.;SBMA;  45.00 %;  45.00 %;
634.;SMGA;  30.00 %;  30.00 %;
635.;SRTG;  35.00 %;  35.00 %;
636.;YUPI;  30.00 %;  30.00 %;
637.;TOBA;  50.00 %;  50.00 %;
638.;GDYR;  50.00 %;  50.00 %;
639.;MHKI;  50.00 %;  50.00 %;
640.;MPPA;  85.00 %;  85.00 %;
641.;BEEF;  85.00 %;  85.00 %;
642.;PANI;  80.00 %;  80.00 %;
643.;PKPK; 100.00 %; 100.00 %;
644.;PTRO;  55.00 %;  55.00 %;
645.;DATA; 100.00 %; 100.00 %;
646.;KLAS;  40.00 %;  40.00 %;
647.;ALII; 100.00 %; 100.00 %;
648.;SURI; 100.00 %; 100.00 %;
649.;JSPT; 100.00 %; 100.00 %;
650.;BABY;  95.00 %;  95.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:44;
As Of Date: 04-Dec-2025;Page: 14;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


651.;BOGA;  85.00 %;  85.00 %;
652.;DRMA;  40.00 %;  40.00 %;
653.;HDFA; 100.00 %; 100.00 %;
654.;IKBI; 100.00 %; 100.00 %;
655.;JIHD; 100.00 %; 100.00 %;
656.;KEEN;  45.00 %;  45.00 %;
657.;KOCI; 100.00 %; 100.00 %;
658.;LPCK; 100.00 %; 100.00 %;
659.;LTLS;  85.00 %;  85.00 %;
660.;MBTO;  85.00 %;  85.00 %;
661.;MIDI;  35.00 %;  35.00 %;
662.;MKAP;  35.00 %;  35.00 %;
663.;MSKY;  70.00 %;  70.00 %;
664.;NEST;  25.00 %;  25.00 %;
665.;PNIN;  30.00 %;  30.00 %;
666.;SEMA;  85.00 %;  85.00 %;
667.;SLIS; 100.00 %; 100.00 %;
668.;SULI; 100.00 %; 100.00 %;
669.;TMPO; 100.00 %; 100.00 %;
670.;TRIS;  85.00 %;  85.00 %;
671.;TRJA;  85.00 %;  85.00 %;
672.;DAAZ; 100.00 %; 100.00 %;
673.;ACST; 100.00 %; 100.00 %;
674.;AGRS; 100.00 %; 100.00 %;
675.;AKPI;  85.00 %;  85.00 %;
676.;ALKA; 100.00 %; 100.00 %;
677.;AMAG;  85.00 %;  85.00 %;
678.;AMAN;  85.00 %;  85.00 %;
679.;AMAR; 100.00 %; 100.00 %;
680.;AMFG;  85.00 %;  85.00 %;
681.;AMIN;  85.00 %;  85.00 %;
682.;AMOR;  85.00 %;  85.00 %;
683.;APII;  85.00 %;  85.00 %;
684.;APLI;  85.00 %;  85.00 %;
685.;ARGO; 100.00 %; 100.00 %;
686.;ARKO;  50.00 %;  50.00 %;
687.;ASDM;  85.00 %;  85.00 %;
688.;ASJT; 100.00 %; 100.00 %;
689.;ASRM;  85.00 %;  85.00 %;
690.;BAJA; 100.00 %; 100.00 %;
691.;BATA; 100.00 %; 100.00 %;
692.;BBLD;  85.00 %;  85.00 %;
693.;BBRM;  85.00 %;  85.00 %;
694.;BELL; 100.00 %; 100.00 %;
695.;BLUE;  85.00 %;  85.00 %;
696.;BNBA; 100.00 %; 100.00 %;
697.;BOBA;  85.00 %;  85.00 %;
698.;BPII;  85.00 %;  85.00 %;
699.;BPTR;  85.00 %;  85.00 %;
700.;BUDI;  85.00 %;  85.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:44;
As Of Date: 04-Dec-2025;Page: 15;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


701.;CASS;  50.00 %;  50.00 %;
702.;CBPE;  85.00 %;  85.00 %;
703.;CEKA;  85.00 %;  85.00 %;
704.;CINT;  85.00 %;  85.00 %;
705.;CLPI;  85.00 %;  85.00 %;
706.;COCO; 100.00 %; 100.00 %;
707.;CRSN;  85.00 %;  85.00 %;
708.;CSAP;  85.00 %;  85.00 %;
709.;DAYA; 100.00 %; 100.00 %;
710.;DEPO;  85.00 %;  85.00 %;
711.;DKFT;  35.00 %;  35.00 %;
712.;DLTA;  85.00 %;  85.00 %;
713.;DPNS;  85.00 %;  85.00 %;
714.;DPUM; 100.00 %; 100.00 %;
715.;DSFI;  85.00 %;  85.00 %;
716.;DVLA;  85.00 %;  85.00 %;
717.;EAST;  85.00 %;  85.00 %;
718.;EKAD;  85.00 %;  85.00 %;
719.;EMDE;  85.00 %;  85.00 %;
720.;FAST; 100.00 %; 100.00 %;
721.;FITT; 100.00 %; 100.00 %;
722.;FOLK; 100.00 %; 100.00 %;
723.;FOOD; 100.00 %; 100.00 %;
724.;GDST;  85.00 %;  85.00 %;
725.;GEMA;  85.00 %;  85.00 %;
726.;GHON;  85.00 %;  85.00 %;
727.;GLVA;  85.00 %;  85.00 %;
728.;GMTD;  85.00 %;  85.00 %;
729.;GOOD;  85.00 %;  85.00 %;
730.;GSMF;  85.00 %;  85.00 %;
731.;GTBO; 100.00 %; 100.00 %;
732.;GWSA; 100.00 %; 100.00 %;
733.;HERO;  85.00 %;  85.00 %;
734.;IDPR;  85.00 %;  85.00 %;
735.;IFII;  85.00 %;  85.00 %;
736.;IFSH;  85.00 %;  85.00 %;
737.;IGAR;  85.00 %;  85.00 %;
738.;IMAS;  50.00 %;  50.00 %;
739.;INAI; 100.00 %; 100.00 %;
740.;INCI;  85.00 %;  85.00 %;
741.;INDR;  85.00 %;  85.00 %;
742.;INDS;  85.00 %;  85.00 %;
743.;INDX; 100.00 %; 100.00 %;
744.;INOV;  85.00 %;  85.00 %;
745.;INPC; 100.00 %; 100.00 %;
746.;IPCM;  85.00 %;  85.00 %;
747.;IPOL;  85.00 %;  85.00 %;
748.;IRRA;  55.00 %;  55.00 %;
749.;ITIC;  85.00 %;  85.00 %;
750.;JAST;  85.00 %;  85.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:44;
As Of Date: 04-Dec-2025;Page: 16;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


751.;JAYA;  85.00 %;  85.00 %;
752.;JECC;  85.00 %;  85.00 %;
753.;KBLI;  85.00 %;  85.00 %;
754.;KBLM;  85.00 %;  85.00 %;
755.;KDSI;  85.00 %;  85.00 %;
756.;KDTN;  85.00 %;  85.00 %;
757.;KETR;  85.00 %;  85.00 %;
758.;KINO;  85.00 %;  85.00 %;
759.;KOPI;  85.00 %;  85.00 %;
760.;LIFE;  85.00 %;  85.00 %;
761.;LPGI;  85.00 %;  85.00 %;
762.;LPLI;  85.00 %;  85.00 %;
763.;LPPS; 100.00 %; 100.00 %;
764.;MBSS;  85.00 %;  85.00 %;
765.;MCOR;  85.00 %;  85.00 %;
766.;MDKI;  85.00 %;  85.00 %;
767.;MERK;  85.00 %;  85.00 %;
768.;MICE;  85.00 %;  85.00 %;
769.;MKTR;  85.00 %;  85.00 %;
770.;MLPL;  60.00 %;  60.00 %;
771.;MOLI;  85.00 %;  85.00 %;
772.;MREI;  85.00 %;  85.00 %;
773.;MYOH;  85.00 %;  85.00 %;
774.;NIRO;  85.00 %;  85.00 %;
775.;OBMD;  85.00 %;  85.00 %;
776.;OILS;  85.00 %;  85.00 %;
777.;PANS;  85.00 %;  85.00 %;
778.;PDES;  85.00 %;  85.00 %;
779.;PJAA;  85.00 %;  85.00 %;
780.;PMJS;  85.00 %;  85.00 %;
781.;PNBN;  45.00 %;  45.00 %;
782.;PNGO;  85.00 %;  85.00 %;
783.;PSGO;  85.00 %;  85.00 %;
784.;PSSI;  85.00 %;  85.00 %;
785.;PTPW;  85.00 %;  85.00 %;
786.;PTSN;  85.00 %;  85.00 %;
787.;PUDP; 100.00 %; 100.00 %;
788.;PURI; 100.00 %; 100.00 %;
789.;R-LQ45X;  20.00 %;  20.00 %;
790.;RISE;  95.00 %;  95.00 %;
791.;RMKO;  85.00 %;  85.00 %;
792.;RSCH;  35.00 %;  35.00 %;
793.;SATU;  45.00 %;  45.00 %;
794.;SCCO;  85.00 %;  85.00 %;
795.;SCNP;  85.00 %;  85.00 %;
796.;SDPC; 100.00 %; 100.00 %;
797.;SDRA; 100.00 %; 100.00 %;
798.;SGRO;  85.00 %;  85.00 %;
799.;SICO;  85.00 %;  85.00 %;
800.;ZYRX;  85.00 %;  85.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:44;
As Of Date: 04-Dec-2025;Page: 17;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


801.;ENVY; 100.00 %; 100.00 %;
802.;TIRT; 100.00 %; 100.00 %;
803.;SMAR;  85.00 %;  85.00 %;
804.;SMKL;  85.00 %;  85.00 %;
805.;SNLK;  55.00 %;  55.00 %;
806.;SPMA;  85.00 %;  85.00 %;
807.;SRSN; 100.00 %; 100.00 %;
808.;SWID;  85.00 %;  85.00 %;
809.;TAYS; 100.00 %; 100.00 %;
810.;TBIG;  30.00 %;  30.00 %;
811.;TBMS;  85.00 %;  85.00 %;
812.;TMAS;  75.00 %;  75.00 %;
813.;TOTO;  85.00 %;  85.00 %;
814.;TRGU;  85.00 %;  85.00 %;
815.;TRUK;  85.00 %;  85.00 %;
816.;TYRE;  85.00 %;  85.00 %;
817.;UNIC;  85.00 %;  85.00 %;
818.;VICI;  85.00 %;  85.00 %;
819.;VICO; 100.00 %; 100.00 %;
820.;VOKS;  85.00 %;  85.00 %;
821.;WINE; 100.00 %; 100.00 %;
822.;WOMF;  85.00 %;  85.00 %;
823.;XIJI;  20.00 %;  20.00 %;
824.;ZONE;  85.00 %;  85.00 %;
825.;MMLP;  50.00 %;  50.00 %;
826.;WIKA; 100.00 %; 100.00 %;
827.;DART;  85.00 %;  85.00 %;
828.;LINK; 100.00 %; 100.00 %;
829.;ACRO;  55.00 %;  55.00 %;
830.;AXIO;  85.00 %;  85.00 %;
831.;BACA;  85.00 %;  85.00 %;
832.;BBSS; 100.00 %; 100.00 %;
833.;BUKA;  25.00 %;  25.00 %;
834.;BUMI;  45.00 %;  45.00 %;
835.;CAKK; 100.00 %; 100.00 %;
836.;CASA;  95.00 %;  95.00 %;
837.;BALI;  85.00 %;  85.00 %;
838.;ERAL;  15.00 %;  15.00 %;
839.;FUJI;  85.00 %;  85.00 %;
840.;MAYA;  55.00 %;  55.00 %;
841.;MCOL;  85.00 %;  85.00 %;
842.;MSJA;  30.00 %;  30.00 %;
843.;OMED;  20.00 %;  20.00 %;
844.;PALM; 100.00 %; 100.00 %;
845.;PNBS; 100.00 %; 100.00 %;
846.;RSGK; 100.00 %; 100.00 %;
847.;RUIS;  85.00 %;  85.00 %;
848.;TRIN; 100.00 %; 100.00 %;
849.;BCIP; 100.00 %; 100.00 %;
850.;BFIN;  40.00 %;  40.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:44;
As Of Date: 04-Dec-2025;Page: 18;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


851.;BOAT; 100.00 %; 100.00 %;
852.;BOLT;  40.00 %;  40.00 %;
853.;FAPA; 100.00 %; 100.00 %;
854.;HATM;  65.00 %;  65.00 %;
855.;IKPM;  40.00 %;  40.00 %;
856.;JTPE;  25.00 %;  25.00 %;
857.;KEJU;  50.00 %;  50.00 %;
858.;LION; 100.00 %; 100.00 %;
859.;NICK;  85.00 %;  85.00 %;
860.;PAMG;  55.00 %;  55.00 %;
861.;RICY; 100.00 %; 100.00 %;
862.;SMIL; 100.00 %; 100.00 %;
863.;SSMS;  40.00 %;  40.00 %;
864.;TOSK; 100.00 %; 100.00 %;
865.;UNVR;  45.00 %;  45.00 %;
866.;WIFI;  55.00 %;  55.00 %;
867.;MINE;  40.00 %;  40.00 %;
868.;BIMA; 100.00 %; 100.00 %;
869.;CBUT;  85.00 %;  85.00 %;
870.;MDLA;  50.00 %;  50.00 %;
871.;VTNY;  70.00 %;  70.00 %;
872.;POOL; 100.00 %; 100.00 %;
873.;TELE; 100.00 %; 100.00 %;
874.;COWL; 100.00 %; 100.00 %;
875.;DKHH;  85.00 %;  85.00 %;
876.;KOKA;  65.00 %;  65.00 %;
877.;DMMX;  70.00 %;  70.00 %;
878.;INET; 100.00 %; 100.00 %;
879.;HITS; 100.00 %; 100.00 %;
880.;DUTI; 100.00 %; 100.00 %;
881.;ESTI; 100.00 %; 100.00 %;
882.;SDMU; 100.00 %; 100.00 %;
883.;YELO; 100.00 %; 100.00 %;
884.;HBAT; 100.00 %; 100.00 %;
885.;LMAX; 100.00 %; 100.00 %;
886.;BCAP; 100.00 %; 100.00 %;
887.;DGIK;  30.00 %;  30.00 %;
888.;INET-W; 100.00 %; 100.00 %;
889.;SQMI; 100.00 %; 100.00 %;
890.;SSIA;  40.00 %;  40.00 %;
891.;TINS;  30.00 %;  30.00 %;
892.;BMTR;  40.00 %;  40.00 %;
893.;CAMP;  50.00 %;  50.00 %;
894.;CSIS;  85.00 %;  85.00 %;
895.;ESTA;  85.00 %;  85.00 %;
896.;MTLA;  85.00 %;  85.00 %;
897.;NFCX; 100.00 %; 100.00 %;
898.;NZIA; 100.00 %; 100.00 %;
899.;UNTR;  20.00 %;  20.00 %;
900.;DWGL; 100.00 %; 100.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:44;
As Of Date: 04-Dec-2025;Page: 19;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


901.;GEMS;  65.00 %;  65.00 %;
902.;ABMM;  45.00 %;  45.00 %;
903.;AIMS; 100.00 %; 100.00 %;
904.;ATLA; 100.00 %; 100.00 %;
905.;DSSA;  80.00 %;  80.00 %;
906.;HELI; 100.00 %; 100.00 %;
907.;KMTR;  85.00 %;  85.00 %;
908.;MORA;  85.00 %;  85.00 %;
909.;ARCI;  30.00 %;  30.00 %;
910.;MSTI;  20.00 %;  20.00 %;
911.;RGAS;  35.00 %;  35.00 %;
912.;AADI;  55.00 %;  55.00 %;
913.;SOLA; 100.00 %; 100.00 %;
914.;SOTS; 100.00 %; 100.00 %;
915.;UNIQ;  45.00 %;  45.00 %;
916.;OBAT;  75.00 %;  75.00 %;
917.;WTON;  30.00 %;  30.00 %;
918.;AGRO;  45.00 %;  45.00 %;
919.;ADES;  40.00 %;  40.00 %;
920.;ADHI;  30.00 %;  30.00 %;
921.;KJEN; 100.00 %; 100.00 %;
922.;AISA;  30.00 %;  30.00 %;
923.;GPSO; 100.00 %; 100.00 %;
924.;DEWI;  55.00 %;  55.00 %;
925.;AALI;  15.00 %;  15.00 %;
926.;GTRA;  85.00 %;  85.00 %;
927.;GUNA;  55.00 %;  55.00 %;
928.;HGII;  15.00 %;  15.00 %;
929.;HILL; 100.00 %; 100.00 %;
930.;HMSP;  15.00 %;  15.00 %;
931.;ICBP;  10.00 %;  10.00 %;
932.;INCO;  20.00 %;  20.00 %;
933.;INDF;  10.00 %;  10.00 %;
934.;INDY;  35.00 %;  35.00 %;
935.;INKP;  20.00 %;  20.00 %;
936.;INPP;  85.00 %;  85.00 %;
937.;INTP;  15.00 %;  15.00 %;
938.;ISAT;  35.00 %;  35.00 %;
939.;ISSP;  40.00 %;  40.00 %;
940.;ITMA;  85.00 %;  85.00 %;
941.;JPFA;  20.00 %;  20.00 %;
942.;KBLV;  85.00 %;  85.00 %;
943.;KICI; 100.00 %; 100.00 %;
944.;KIJA;  20.00 %;  20.00 %;
945.;KLBF;  10.00 %;  10.00 %;
946.;AGII; 100.00 %; 100.00 %;
947.;LIVE;  50.00 %;  50.00 %;
948.;LUCK;  85.00 %;  85.00 %;
949.;MAHA;  35.00 %;  35.00 %;
950.;MAIN;  20.00 %;  20.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:44;
As Of Date: 04-Dec-2025;Page: 20;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


951.;MAPA;  20.00 %;  20.00 %;
952.;MDKA;  25.00 %;  25.00 %;
953.;AHAP;  85.00 %;  85.00 %;
954.;MIKA;  15.00 %;  15.00 %;
955.;MNCN;  15.00 %;  15.00 %;
956.;MPOW;  85.00 %;  85.00 %;
957.;MTDL;  20.00 %;  20.00 %;
958.;MTMH;  30.00 %;  30.00 %;
959.;NETV;  85.00 %;  85.00 %;
960.;AREA; 100.00 %; 100.00 %;
961.;PGAS;  20.00 %;  20.00 %;
962.;PGUN;  85.00 %;  85.00 %;
963.;PRDA;  25.00 %;  25.00 %;
964.;PSDN; 100.00 %; 100.00 %;
965.;PTBA;  20.00 %;  20.00 %;
966.;PWON;  15.00 %;  15.00 %;
967.;PZZA;  35.00 %;  35.00 %;
968.;RAJA;  40.00 %;  40.00 %;
969.;RALS;  15.00 %;  15.00 %;
970.;RANC;  85.00 %;  85.00 %;
971.;RATU; 100.00 %; 100.00 %;
972.;SAME;  65.00 %;  65.00 %;
973.;SFAN;  85.00 %;  85.00 %;
974.;SGER;  55.00 %;  55.00 %;
975.;SIDO;  15.00 %;  15.00 %;
976.;SILO;  35.00 %;  35.00 %;
977.;SIMP;  15.00 %;  15.00 %;
978.;ASPI;  60.00 %;  60.00 %;
979.;SKBM; 100.00 %; 100.00 %;
980.;SMRA;  20.00 %;  20.00 %;
981.;SOCI;  30.00 %;  30.00 %;
982.;SPTO;  20.00 %;  20.00 %;
983.;SUNI;  30.00 %;  30.00 %;
984.;TCID; 100.00 %; 100.00 %;
985.;TEBE;  85.00 %;  85.00 %;
986.;TRON;  60.00 %;  60.00 %;
987.;TRUS;  80.00 %;  80.00 %;
988.;UCID;  20.00 %;  20.00 %;
989.;UFOE; 100.00 %; 100.00 %;
990.;ULTJ;  15.00 %;  15.00 %;
991.;VAST;  25.00 %;  25.00 %;
992.;ARTO;  50.00 %;  50.00 %;
993.;PTMR; 100.00 %; 100.00 %;
994.;AWAN;  75.00 %;  75.00 %;
995.;BATR;  30.00 %;  30.00 %;
996.;BBKP;  85.00 %;  85.00 %;
997.;BBYB;  65.00 %;  65.00 %;
998.;BEER;  85.00 %;  85.00 %;
999.;BEST;  20.00 %;  20.00 %;
1000.;BHAT;  85.00 %;  85.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:44;
As Of Date: 04-Dec-2025;Page: 21;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


1001.;BIPI; 100.00 %; 100.00 %;
1002.;BISI;  85.00 %;  85.00 %;
1003.;BLES;  15.00 %;  15.00 %;
1004.;BMHS;  85.00 %;  85.00 %;
1005.;BRAM;  95.00 %;  95.00 %;
1006.;BRMS;  35.00 %;  35.00 %;
1007.;BRRC;  75.00 %;  75.00 %;
1008.;BSBK; 100.00 %; 100.00 %;
1009.;BSDE;  15.00 %;  15.00 %;
1010.;BTON; 100.00 %; 100.00 %;
1011.;BULL; 100.00 %; 100.00 %;
1012.;BWPT;  35.00 %;  35.00 %;
1013.;CCSI;  85.00 %;  85.00 %;
1014.;CMNP;  65.00 %;  65.00 %;
1015.;MEDC;  55.00 %;  55.00 %;
1016.;CNMA;  30.00 %;  30.00 %;
1017.;CPRO;  80.00 %;  80.00 %;
1018.;CRAB;  30.00 %;  30.00 %;
1019.;CYBR;  75.00 %;  75.00 %;
1020.;DEWA;  30.00 %;  30.00 %;
1021.;DGNS;  45.00 %;  45.00 %;
1022.;DGWG;  45.00 %;  45.00 %;
1023.;DILD;  40.00 %;  40.00 %;
1024.;DMND;  85.00 %;  85.00 %;
1025.;ENAK;  60.00 %;  60.00 %;
1026.;FILM;  60.00 %;  60.00 %;
1027.;FUTR;  80.00 %;  80.00 %;
1028.;FWCT;  60.00 %;  60.00 %;
1029.;GRIA;  60.00 %;  60.00 %;
1030.;GULA;  50.00 %;  50.00 %;
1031.;HALO;  95.00 %;  95.00 %;
1032.;HEAL;  20.00 %;  20.00 %;
1033.;HOKI;  85.00 %;  85.00 %;
1034.;HOMI;  80.00 %;  80.00 %;
1035.;HYGN;  85.00 %;  85.00 %;
1036.;IKAN;  95.00 %;  95.00 %;
1037.;INDO;  40.00 %;  40.00 %;
1038.;INRU; 100.00 %; 100.00 %;
1039.;IOTF;  55.00 %;  55.00 %;
1040.;ISEA;  60.00 %;  60.00 %;
1041.;JARR;  45.00 %;  45.00 %;
1042.;JSMR;  15.00 %;  15.00 %;
1043.;KAEF; 100.00 %; 100.00 %;
1044.;KKGI;  25.00 %;  25.00 %;
1045.;KMDS;  65.00 %;  65.00 %;
1046.;KRAS; 100.00 %; 100.00 %;
1047.;KSIX;  45.00 %;  45.00 %;
1048.;KUAS;  85.00 %;  85.00 %;
1049.;LABS;  35.00 %;  35.00 %;
1050.;LCKM;  95.00 %;  95.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:44;
As Of Date: 04-Dec-2025;Page: 22;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


1051.;LEAD;  30.00 %;  30.00 %;
1052.;LMPI;  75.00 %;  75.00 %;
1053.;LRNA; 100.00 %; 100.00 %;
1054.;LSIP;  15.00 %;  15.00 %;
1055.;MAPB;  85.00 %;  85.00 %;
1056.;MASB; 100.00 %; 100.00 %;
1057.;MDIY;  35.00 %;  35.00 %;
1058.;MFIN;  55.00 %;  55.00 %;
1059.;MITI;  95.00 %;  95.00 %;
1060.;MKPI;  55.00 %;  55.00 %;
1061.;MMIX;  75.00 %;  75.00 %;
1062.;MPIX;  85.00 %;  85.00 %;
1063.;MRAT;  50.00 %;  50.00 %;
1064.;MUTU;  55.00 %;  55.00 %;
1065.;NAIK;  95.00 %;  95.00 %;
1066.;NASI;  90.00 %;  90.00 %;
1067.;NATO;  85.00 %;  85.00 %;
1068.;NIKL; 100.00 %; 100.00 %;
1069.;OASA; 100.00 %; 100.00 %;
1070.;OPMS;  85.00 %;  85.00 %;
1071.;PART;  30.00 %;  30.00 %;
1072.;PBSA;  55.00 %;  55.00 %;
1073.;PEHA; 100.00 %; 100.00 %;
1074.;PEVE;  25.00 %;  25.00 %;
1075.;PGLI; 100.00 %; 100.00 %;
1076.;PMMP; 100.00 %; 100.00 %;
1077.;POWR;  15.00 %;  15.00 %;
1078.;PPRI;  40.00 %;  40.00 %;
