PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:43;
As Of Date: 04-Dec-2025;Page: 1;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);
116.;BBIA;  70.00 %;  70.00 %;
117.;BDPC;  80.00 %;  80.00 %;
118.;BNPK;  85.00 %;  85.00 %;
119.;CPDW;  90.00 %;  90.00 %;
120.;CPPR;  75.00 %;  75.00 %;
121.;DNKS;  40.00 %;  40.00 %;
122.;DSUC;  90.00 %;  90.00 %;
123.;DYNA;  60.00 %;  60.00 %;
124.;GDWU;  90.00 %;  90.00 %;
125.;IATG;  40.00 %;  40.00 %;
126.;IDKM;  80.00 %;  80.00 %;
127.;KOMI;  45.00 %;  45.00 %;
128.;LPBN;  45.00 %;  45.00 %;
129.;GLOB; 100.00 %; 100.00 %;
130.;GMCW; 100.00 %; 100.00 %;
131.;INVS; 100.00 %; 100.00 %;
132.;JKSW; 100.00 %; 100.00 %;
133.;KARW; 100.00 %; 100.00 %;
134.;POLY; 100.00 %; 100.00 %;
135.;SAFE; 100.00 %; 100.00 %;
136.;SCPI; 100.00 %; 100.00 %;
137.;SIAP; 100.00 %; 100.00 %;
138.;TKGA; 100.00 %; 100.00 %;
139.;TRIO; 100.00 %; 100.00 %;
140.;TRUB; 100.00 %; 100.00 %;
141.;SQBI; 100.00 %; 100.00 %;
142.;CANI; 100.00 %; 100.00 %;
143.;ETWA; 100.00 %; 100.00 %;
144.;INTA-W; 100.00 %; 100.00 %;
145.;SCBD; 100.00 %; 100.00 %;
146.;TMPI; 100.00 %; 100.00 %;
147.;NASA-W; 100.00 %; 100.00 %;
148.;KIOS-W; 100.00 %; 100.00 %;
149.;MMLP-R; 100.00 %; 100.00 %;
150.;BSWD; 100.00 %; 100.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:43;
As Of Date: 04-Dec-2025;Page: 4;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


151.;DAJK; 100.00 %; 100.00 %;
152.;MDRN; 100.00 %; 100.00 %;
153.;SILO-R; 100.00 %; 100.00 %;
154.;HELI-W;  50.00 %;  50.00 %;
155.;MKDO;  80.00 %;  80.00 %;
156.;PAFI;  90.00 %;  90.00 %;
157.;PTRA;  65.00 %;  65.00 %;
158.;SHDA;  50.00 %;  50.00 %;
159.;SHSA;  95.00 %;  95.00 %;
160.;SIIP;  70.00 %;  70.00 %;
161.;SMPL;  95.00 %;  95.00 %;
162.;SUDI;  90.00 %;  90.00 %;
163.;APOL; 100.00 %; 100.00 %;
164.;BORN; 100.00 %; 100.00 %;
165.;BRAU; 100.00 %; 100.00 %;
166.;BTEL; 100.00 %; 100.00 %;
167.;CPGT; 100.00 %; 100.00 %;
168.;CTRP;  25.00 %;  25.00 %;
169.;CTRS;  25.00 %;  25.00 %;
170.;DWGL-W; 100.00 %; 100.00 %;
171.;LAMI; 100.00 %; 100.00 %;
172.;SOBI; 100.00 %; 100.00 %;
173.;DFAM-W;  50.00 %;  50.00 %;
174.;CKRA; 100.00 %; 100.00 %;
175.;CNKO; 100.00 %; 100.00 %;
176.;CNTX; 100.00 %; 100.00 %;
177.;TAXI; 100.00 %; 100.00 %;
178.;UNSP; 100.00 %; 100.00 %;
179.;NUSA-W; 100.00 %; 100.00 %;
180.;KPAS-W;  50.00 %;  50.00 %;
181.;BEEF-W;  50.00 %;  50.00 %;
182.;JAYA-W;  50.00 %;  50.00 %;
183.;COCO-W;  50.00 %;  50.00 %;
184.;BBNP; 100.00 %; 100.00 %;
185.;GREN; 100.00 %; 100.00 %;
186.;BBCA;   5.00 %;   5.00 %;
187.;TLKM;   5.00 %;   5.00 %;
188.;KBRI; 100.00 %; 100.00 %;
189.;NAGA;  70.00 %;  70.00 %;
190.;SMKL-W; 100.00 %; 100.00 %;
191.;FIRE-W; 100.00 %; 100.00 %;
192.;CMPP; 100.00 %; 100.00 %;
193.;MYRX; 100.00 %; 100.00 %;
194.;DADA-W; 100.00 %; 100.00 %;
195.;HOME; 100.00 %; 100.00 %;
196.;MABA; 100.00 %; 100.00 %;
197.;MTRA; 100.00 %; 100.00 %;
198.;RIMO; 100.00 %; 100.00 %;
199.;SKYB; 100.00 %; 100.00 %;
200.;SIMA; 100.00 %; 100.00 %;

(continue...);PT. Profindo Sekuritas Indonesia;Date: 04-Dec-2025;
Stock HairCut List;Time: 10:48:43;
As Of Date: 04-Dec-2025;Page: 5;

 No.;Shares;KPEI HairCut(%);Panin HairCut(%);


201.;INDO-W;  50.00 %;  50.00 %;
202.;IIKP; 100.00 %; 100.00 %;
203.;MYRXP; 100.00 %; 100.00 %;
204.;PGJO; 100.00 %; 100.00 %;
205.;SMRU; 100.00 %; 100.00 %;
206.;TRAM; 100.00 %; 100.00 %;
207.;AYLS-W; 100.00 %; 100.00 %;
208.;ASPI-W; 100.00 %; 100.00 %;
209.;LUCY; 100.00 %; 100.00 %;
210.;MGLV-W;  90.00 %;  90.00 %;
211.;MGLV; 100.00 %; 100.00 %;
212.;MTFN; 100.00 %; 100.00 %;
213.;TSPC;  20.00 %;  20.00 %;
214.;BIKA; 100.00 %; 100.00 %;
215.;CPRI; 100.00 %; 100.00 %;
216.;DUCK; 100.00 %; 100.00 %;
217.;TRUE-W;  90.00 %;  90.00 %;
218.;FORZ; 100.00 %; 100.00 %;
219.;GMFI; 100.00 %; 100.00 %;
220.;KPAL; 100.00 %; 100.00 %;
221.;MAMI; 100.00 %; 100.00 %;
222.;UVCR-W;  90.00 %;  90.00 %;
